Native	Non-Native	Unknown	Native_sd	Non-Native_sd	Unknown_sd	Sample_ID	Donor_Ratio	Donor_1_Proportion	Strain_1	Species_1	Strain_2	Species_2	Species_Comparison	Strain_Comparison	Sample_Type	Mouse_ID	Recipient_Genotype	Cage_ID	Time_Point	Week	Sequencing_Run	log10_Donor_Ratio
0.656781693131257	0.308053596157214	0.0351647107115291	0.00266452606221956	0.00236179827934695	0.00171274945157172	Mmus_B6Con_vs_Mmus_LEW_c16_Inoculum	2.13203709135105	0.656781693131257	Mmus_B6Con	Mmus	Mmus_LEW	Mmus	Mmus_vs_Mmus	Mmus_B6Con_vs_Mmus_LEW	Inoculum	c16	WT	c16	Inoculum	0	Seq_Run_1	0.32879475590283
0.139626780030754	0.00284612000521201	0.857527099964034	0.00387511184476568	0.000907918887772003	0.00389148060435645	Mmus_B6Con_vs_Mmus_LEW_m16A_w1	49.058641158862	0.139626780030754	Mmus_B6Con	Mmus	Mmus_LEW	Mmus	Mmus_vs_Mmus	Mmus_B6Con_vs_Mmus_LEW	Feces_Output	m16A	WT	c16	w1	1	Seq_Run_1	1.69071551481654
0.357761682116868	0.00114679993796801	0.641091517945164	0.00192611378901041	0.00034751496911117	0.0020833355657395	Mmus_B6Con_vs_Mmus_LEW_m16A_w2	311.965208814695	0.357761682116868	Mmus_B6Con	Mmus	Mmus_LEW	Mmus	Mmus_vs_Mmus	Mmus_B6Con_vs_Mmus_LEW	Feces_Output	m16A	WT	c16	w2	2	Seq_Run_1	2.49410616304954
0.0234049102919081	0.00381568004274202	0.97277940966535	0.00262893435847094	0.00110543565183887	0.00317384192153064	Mmus_B6Con_vs_Mmus_LEW_m16A_w3	6.13387653831921	0.0234049102919081	Mmus_B6Con	Mmus	Mmus_LEW	Mmus	Mmus_vs_Mmus	Mmus_B6Con_vs_Mmus_LEW	Feces_Output	m16A	WT	c16	w3	3	Seq_Run_1	0.78773503032493
0.0489261794735182	0.00244997001042401	0.948623850516058	0.00351752745771906	0.00111555419511501	0.00296457314055423	Mmus_B6Con_vs_Mmus_LEW_m16A_w4	19.9701136199013	0.0489261794735182	Mmus_B6Con	Mmus	Mmus_LEW	Mmus	Mmus_vs_Mmus	Mmus_B6Con_vs_Mmus_LEW	Feces_Output	m16A	WT	c16	w4	4	Seq_Run_1	1.30038053579488
0.144568397098102	0.00324749992337301	0.852184102978525	0.00274976353094201	0.00149471710490419	0.00370308970874371	Mmus_B6Con_vs_Mmus_LEW_m16B_w1	44.5168284863104	0.144568397098102	Mmus_B6Con	Mmus	Mmus_LEW	Mmus	Mmus_vs_Mmus	Mmus_B6Con_vs_Mmus_LEW	Feces_Output	m16B	WT	c16	w1	1	Seq_Run_1	1.64852421631052
0.00493120995152102	0.0726907793598822	0.922378010688597	0.000979907982433483	0.00316780247127886	0.00329626281184976	Mmus_B6Con_vs_Mmus_LEW_m16B_w2	0.0678381769317297	0.00493120995152102	Mmus_B6Con	Mmus	Mmus_LEW	Mmus	Mmus_vs_Mmus	Mmus_B6Con_vs_Mmus_LEW	Feces_Output	m16B	WT	c16	w2	2	Seq_Run_1	-1.16852583172906
0.023655120229879	0.00852796006515801	0.967816919704963	0.0022048226854483	0.00221472078656113	0.00270482119691819	Mmus_B6Con_vs_Mmus_LEW_m16B_w3	2.77383102748391	0.023655120229879	Mmus_B6Con	Mmus	Mmus_LEW	Mmus	Mmus_vs_Mmus	Mmus_B6Con_vs_Mmus_LEW	Feces_Output	m16B	WT	c16	w3	3	Seq_Run_1	0.4430800017746
0.0279555802830471	0.000943500022413005	0.97110091969454	0.00242202318273045	0.000396557935514316	0.00267281668639309	Mmus_B6Con_vs_Mmus_LEW_m16B_w4	29.6296551340302	0.0279555802830471	Mmus_B6Con	Mmus	Mmus_LEW	Mmus	Mmus_vs_Mmus	Mmus_B6Con_vs_Mmus_LEW	Feces_Output	m16B	WT	c16	w4	4	Seq_Run_1	1.47172659666199
0.854588690012039	0.018073949953568	0.127337360034393	0.00104938195547899	0.00191612707272973	0.00174060130499196	Mmus_B6Con_vs_Mmus_NY2_c14_Inoculum	47.2828956707015	0.854588690012039	Mmus_B6Con	Mmus	Mmus_NY2	Mmus	Mmus_vs_Mmus	Mmus_B6Con_vs_Mmus_NY2	Inoculum	c14	WT	c14	Inoculum	0	Seq_Run_1	1.6747040654895
